【合租】罗店 佳翔苑 3室次卧,佳翔苑,1000,http://sh.58.com//pinpaigongyu/27092562014143x.shtml,121.344193,31.406911
【合租】罗店 美安苑 3室次卧,美安苑,950,http://sh.58.com//pinpaigongyu/27260389672372x.shtml,121.346638,31.415251
【合租】嘉定城区 远香舫庭苑 3室次卧,远香舫庭苑,950,http://sh.58.com//pinpaigongyu/26741025754170x.shtml,121.265300,31.375602
【合租】嘉定城区 清河路443弄 3室次卧,清河路443弄,1000,http://sh.58.com//pinpaigongyu/26741035445960x.shtml,121.2653,31.375602
【合租】青浦新城 新青浦花苑 3室次卧,新青浦花苑,1000,http://sh.58.com//pinpaigongyu/26940281103680x.shtml,121.130087,31.16178
【合租】菊园新区 汇丰荷苑 3室次卧,汇丰荷苑,1000,http://sh.58.com//pinpaigongyu/26815970988987x.shtml,121.245575,31.392675
【合租】罗店 金丰苑南区 3室次卧,金丰苑南区,900,http://sh.58.com//pinpaigongyu/27037657273021x.shtml,121.340781,31.398793
【合租】南桥 恒盛湖畔豪庭 3室主卧,恒盛湖畔豪庭,938,http://sh.58.com//pinpaigongyu/26994982385847x.shtml,121.497115,30.933731
【合租】南桥 绿地南桥新苑 3室次卧,绿地南桥新苑,850,http://sh.58.com//pinpaigongyu/27355855929012x.shtml,121.472775,30.936653
【合租】曹路 金海华城永华苑 3室次卧,金海华城永华苑,850,http://sh.58.com//pinpaigongyu/27119684181837x.shtml,121.692251,31.276825
【合租】惠南 惠康苑 3室次卧,惠康苑,1000,http://sh.58.com//pinpaigongyu/27180884828875x.shtml,121.744275,31.075541
【合租】小昆山 翔昆苑 5室主卧,翔昆苑,580,http://sh.58.com//pinpaigongyu/27224891073705x.shtml,121.126893,31.032448
【合租】惠南 西门锦绣苑西苑 3室主卧,西门锦绣苑西苑,1000,http://sh.58.com//pinpaigongyu/27315586856643x.shtml,121.761864,31.045767
【合租】惠南 人生港湾南欧城 3室次卧,人生港湾南欧城,1000,http://sh.58.com//pinpaigongyu/27195018043587x.shtml,121.776237,31.045426
【合租】惠南 德盈佳苑 3室次卧,德盈佳苑,950,http://sh.58.com//pinpaigongyu/27017588881741x.shtml,121.761864,31.045767
【合租】惠南 民乐城丽园 3室次卧,民乐城丽园,900,http://sh.58.com//pinpaigongyu/27114555317170x.shtml,121.743717,31.069883
【合租】惠南 金汇广场 3室主卧,金汇广场,900,http://sh.58.com//pinpaigongyu/26467555807917x.shtml,121.756451,31.043614
【合租】罗南 佳翔苑 3室次卧,佳翔苑,1000,http://sh.58.com//pinpaigongyu/27105679605303x.shtml,121.345738,31.406323
【合租】罗南 佳境苑 3室次卧,佳境苑,900,http://sh.58.com//pinpaigongyu/27282516493370x.shtml,121.345666,31.406046
【合租】罗南 金丰苑南区 3室次卧,金丰苑南区,950,http://sh.58.com//pinpaigongyu/27084328212801x.shtml,121.340833,31.398787
【合租】惠南 金地城 3室次卧,金地城,1000,http://sh.58.com//pinpaigongyu/27173488220459x.shtml,121.761864,31.045767
【合租】安亭 招商新村 4室次卧,招商新村,750,http://sh.58.com//pinpaigongyu/27314968473805x.shtml,121.152991,31.297031
